Bill.com Entity,Bill.com Object ID,Bill.com Line ID,NetSuite Record ID,NetSuite Sublist ID,NetSuite Line ID
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02AKNJPHHGBP308d3,2221580,item,7
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02RZZCSEYBZS308d4,2221580,item,8
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02ETZGEKKCPT308d5,2221580,item,9
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02ZBLBHNYPYY308d6,2221580,item,10
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02SRBCGLRHCV308d7,2221580,item,11
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02KFGTJEDTRC308d8,2221580,item,12
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02FOEKBTORUE308d9,2221580,item,13
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02MTVNBEGOUZ308db,3240838,item,1
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02XABUGHPVOL308dc,3240838,item,2
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02VMKWVYOBIT308dd,3240838,item,3
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02LPGNEUXEGN308de,3240838,item,4
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02RGZUVRJBIA308df,3240838,item,5
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02ZSSQKIJSZY308dg,3240838,item,6
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02AYBHEJBFBZ308dh,3240838,item,7
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02WWWBRRCNOS308di,3240838,item,8
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02VFWTZDERCM308dj,3240838,item,9
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02JFFBMYNQMO308dk,3240838,item,10
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02VQIGTMHRBK308dl,3240838,item,11
PurchaseOrder,pur02HCWTNSMWSDCezhz,pol02GKEDLOVHPI308dm,3240838,item,12
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02YVHFFKPNKK308dn,3565561,item,1
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02ZTILGGVLBH308do,3565561,item,2
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02FBHHVLCQRB308dp,3565561,item,3
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02URUQTDTWLU308dq,3565561,item,4
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02XPKVACJUYV308dr,3565561,item,5
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02FFJGBNEBDH308ds,3565561,item,6
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02XZEGNZTDDN308dt,3565561,item,7
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02HGYDKFCLHD308du,3565561,item,8
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02TMDANHZKPL308dv,3565561,item,9
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02JCSFXVPCSG308dw,3565561,item,10
